cultura,area_ha,ph,fosforo_ppm,potassio_ppm,materia_organica_percent,fase_enos,precipitacao_total_ciclo,temperatura_media_ciclo,temperatura_max_ciclo,dias_calor_extremo_ciclo,produtividade_kg_ha
Algodão,19.82,5.99,23.45,110.67,1.58,La Nina,1217.9,24.943256023418147,35.8,2.9166666666666665,1910.2792854624488
Milho,20.89,5.89,24.35,148.16,2.66,La Nina,1054.1999999999998,25.01525603608384,35.8,2.9166666666666665,5264.701677259139
Algodão,18.59,5.54,21.98,143.46,2.14,La Nina,1202.8,24.95254315304948,35.8,2.9166666666666665,1787.3623057094371
Soja,19.37,5.88,20.39,122.51,2.8,La Nina,827.5,25.12015994668444,35.8,2.833333333333333,4709.570860368436
Soja,20.71,4.96,7.34,99.19,2.31,La Nina,848.0999999999999,25.102394227615605,35.8,2.833333333333333,3691.793818409889
Algodão,19.1,5.84,17.06,42.03,2.39,La Nina,1258.1,24.915281736461303,35.8,2.9166666666666665,1865.689332064125
Milho,18.75,5.22,18.61,135.26,3.02,La Nina,1032.8000000000002,25.034886270211015,35.8,2.833333333333333,3971.558057817378
Milho,19.15,5.28,22.1,80.39,2.84,La Nina,1026.4,25.00166056853363,35.8,2.75,5220.425261166077
Algodão,18.12,6.17,21.4,81.07,3.03,La Nina,1207.4,24.949872003723527,35.8,2.708333333333333,1669.3358838252045
Algodão,20.9,5.38,5.14,128.16,2.22,La Nina,1204.2,24.942480583666747,35.8,2.625,1609.4816159039515
Soja,18.01,5.29,12.95,123.03,2.0,La Nina,914.2,25.04889458506889,35.8,2.5416666666666665,3461.7302591020566
Algodão,19.62,4.94,10.37,117.62,2.85,La Nina,1249.2,24.897781299524564,35.8,2.625,1949.7469016566224
Algodão,19.92,5.42,21.28,98.35,3.26,La Nina,1253.9,24.885957446808508,35.8,2.625,2014.5721140258684
Milho,20.1,5.52,21.18,110.13,1.7,La Nina,1068.8,25.00649175006762,35.8,2.625,4373.274254707782
Algodão,20.45,5.22,9.02,59.19,2.63,La Nina,1200.0,24.933991906688885,35.8,2.5416666666666665,1728.0365535123046
Algodão,19.05,5.18,22.15,104.9,3.31,La Nina,1258.1,24.8380708398307,35.8,2.375,1945.3501924434424
Algodão,18.31,5.12,10.52,53.83,2.78,La Nina,1242.6,24.88391254315305,35.8,2.375,1780.0836524566378
Soja,20.84,6.16,7.27,141.51,1.58,La Nina,833.3999999999999,25.04606230311516,35.8,2.2916666666666665,3878.2921773690305
Milho,18.09,5.63,5.63,80.04,2.49,La Nina,1120.5,24.955402239000264,35.8,2.208333333333333,5849.947010955788
Soja,21.24,5.73,20.62,46.91,1.6,La Nina,833.2,25.00042357924462,35.8,1.9583333333333333,4402.8897237069
Algodão,19.02,5.0,16.35,63.94,3.27,La Nina,1228.3000000000002,24.861689679382167,35.8,2.0416666666666665,2025.617001273904
Milho,21.11,4.98,22.8,47.04,1.68,La Nina,1117.5,24.92631162668073,35.8,1.9166666666666667,5090.532609455713
Algodão,18.88,5.23,22.89,110.05,3.46,La Nina,1210.4,24.85879289940828,35.8,1.9166666666666667,2047.1450632112094
Algodão,19.18,5.49,10.33,90.21,3.26,La Nina,1251.6,24.78531755064876,35.8,1.7916666666666667,2014.003261950011
Milho,20.18,5.23,19.73,116.62,3.47,La Nina,1096.6,24.897767492512934,35.8,1.625,5610.822735717603
Algodão,19.42,5.93,15.84,91.47,1.69,La Nina,1235.8000000000002,24.798190906926923,35.0,1.375,1932.602200296528
Milho,18.05,4.96,17.3,128.0,2.95,La Nina,1112.4,24.86781173924804,35.0,1.25,6026.976282059179
Milho,20.16,6.14,24.72,120.92,2.79,La Nina,1074.6999999999998,24.84476462196862,35.0,1.0833333333333333,7269.7752760041785
Algodão,21.58,5.43,18.49,69.17,1.74,La Nina,1270.7,24.69609734707301,35.0,0.8333333333333334,2035.5723270049803
Soja,18.86,5.12,20.41,116.23,2.19,La Nina,989.6,24.750597352276397,35.0,0.5833333333333334,4023.3472714281443
Milho,20.54,6.13,11.17,133.12,3.03,La Nina,1081.1,24.79957495041088,35.0,0.6666666666666666,4010.1727165367092
Milho,18.12,5.6,20.43,112.12,2.85,La Nina,1147.8,24.762483311081443,34.1,0.375,6401.261151033071
Algodão,18.77,4.89,21.1,93.66,1.71,La Nina,1254.6,24.65059677041891,34.1,0.375,1891.7832363392813
Soja,20.02,5.58,7.84,67.97,1.99,La Nina,901.1,24.79520476023801,34.1,0.2916666666666667,3765.2643091138334
Soja,18.37,5.8,10.5,61.37,1.8,La Nina,866.9,24.76865350089767,32.7,0.1666666666666666,3497.1230878796173
Algodão,19.04,6.16,17.67,118.09,1.53,La Nina,1221.8,24.60912707699509,32.1,0.0833333333333333,1793.6861817768433
Milho,21.46,5.45,7.36,149.12,2.9,La Nina,1061.5,24.742573972996265,32.1,0.0833333333333333,6011.7603909181835
Milho,20.02,4.9,6.77,132.66,3.24,La Nina,1094.7,24.71377395168009,32.1,0.0833333333333333,6873.620035837802
Soja,21.69,6.13,19.22,109.1,3.2,La Nina,888.9,24.718635547576305,32.0,0.0,3808.0001946092416
Algodão,18.66,5.76,24.08,70.72,2.03,La Nina,1213.6,24.6121749136939,32.1,0.0833333333333333,1731.9613334792002
Algodão,18.74,5.53,12.37,120.34,3.16,La Nina,1208.3,24.598190906926924,32.1,0.0833333333333333,1710.4899062421646
Milho,19.42,5.23,22.84,70.93,3.06,La Nina,1113.9,24.70027404768429,32.1,0.0833333333333333,4915.7831556624205
Algodão,18.62,6.06,24.86,63.55,2.0,La Nina,1214.1999999999998,24.625809372877523,32.1,0.0833333333333333,1928.922897641271
Milho,19.52,5.91,9.97,121.67,2.86,La Nina,1065.2,24.726917552427462,32.1,0.0833333333333333,6522.817454660924
Milho,21.9,5.16,22.43,80.99,3.01,La Nina,1086.4,24.7066874468688,32.1,0.0833333333333333,7079.7537956482365
Soja,20.89,4.84,7.27,112.0,2.24,La Nina,902.1,24.67375224416517,32.0,0.0,3602.880385332983
Milho,21.51,5.09,12.83,103.16,1.92,La Nina,1131.6,24.669885911382327,32.1,0.0833333333333333,5970.809459390813
Algodão,18.03,5.17,19.99,123.03,2.44,La Nina,1207.1,24.591247367189325,32.1,0.0833333333333333,1623.5401094213628
Milho,21.6,5.16,11.44,108.87,2.46,La Nina,1092.9,24.689090393879283,32.1,0.0833333333333333,6378.725873024832
Algodão,20.81,5.7,15.1,67.66,2.0,La Nina,1202.6,24.61501487754635,32.1,0.0833333333333333,1641.7236336619733
Soja,21.93,5.75,11.46,95.85,3.41,La Nina,939.9,24.64853700516351,32.0,0.0,4099.828884678476
Algodão,19.12,4.94,22.85,131.34,3.08,La Nina,1203.0,24.620555429091738,32.1,0.0833333333333333,2090.8624625171724
Milho,20.34,5.75,16.61,91.88,2.21,La Nina,1110.4,24.683310344827586,32.1,0.0833333333333333,4066.9229081604713
Algodão,18.5,6.17,8.13,65.9,2.82,La Nina,1193.4,24.658652780855306,32.1,0.0833333333333333,1738.1635929198121
Milho,20.91,5.78,5.05,115.63,3.43,La Nina,1105.5,24.68153290752569,32.1,0.0833333333333333,6399.580269736683
Milho,21.49,6.13,9.11,96.77,1.69,La Nina,1097.1999999999998,24.683535040810582,32.1,0.0833333333333333,5283.346173364058
Algodão,20.1,5.01,6.6,148.7,3.2,La Nina,1191.6,24.626688029297323,32.1,0.0833333333333333,1823.783590868484
Algodão,20.83,4.9,24.46,96.25,3.28,La Nina,1187.3,24.65758520828692,32.1,0.0833333333333333,1857.094672445845
Algodão,21.19,5.9,9.04,145.37,1.71,La Nina,1183.9,24.604118343195264,32.1,0.0833333333333333,1725.6213288340132
Algodão,20.98,5.39,5.39,70.96,3.45,La Nina,1183.9,24.609696399152742,32.1,0.0833333333333333,1854.8859969458244
Milho,21.96,5.17,7.69,75.48,1.83,La Nina,1118.3000000000002,24.66414942219833,32.1,0.0833333333333333,6849.947071423875
Algodão,20.68,5.87,19.04,56.6,2.49,La Nina,1187.1999999999998,24.62948043030441,32.1,0.0833333333333333,1847.025931197266
Soja,21.93,6.07,8.4,143.2,2.86,La Nina,942.9,24.70500503862949,32.1,0.0833333333333333,3877.668087362781
Soja,18.38,4.88,8.03,136.84,2.18,La Nina,942.5,24.697290890619712,32.1,0.0833333333333333,3984.872112767329
Milho,20.57,4.82,15.95,50.32,3.0,La Nina,1103.0,24.656684491978613,32.1,0.0833333333333333,4426.451449642648
Soja,18.58,6.04,9.43,146.34,1.91,La Nina,994.2,24.661698665798895,32.1,0.0833333333333333,4161.230877357388
Algodão,19.56,4.93,19.71,134.49,2.34,La Nina,1185.0,24.63227283131151,32.1,0.0833333333333333,1679.4686926328768
Milho,18.68,4.81,24.19,71.8,2.93,La Nina,1152.7,24.60801068090788,32.1,0.0833333333333333,6365.736754461038
Milho,18.36,6.17,7.81,42.22,3.5,La Nina,1116.0,24.63146348236601,32.1,0.0833333333333333,5674.424613475406
Algodão,19.25,5.45,19.57,83.65,1.83,La Nina,1185.0,24.63389483268837,32.1,0.0833333333333333,1976.765995484269
Soja,21.2,6.02,18.81,41.07,2.41,La Nina,991.6,24.659921285667437,32.1,0.0833333333333333,4750.185897612297
Soja,19.99,5.84,15.83,62.24,2.45,La Nina,946.8,24.665984033321767,32.1,0.0833333333333333,4353.121103073164
Soja,18.55,4.81,22.03,69.95,2.88,La Nina,913.8,24.662836624775583,32.1,0.0833333333333333,3928.2966700509246
Soja,19.62,6.07,15.71,58.38,2.54,La Nina,996.6,24.69006728612624,32.1,0.0833333333333333,3774.723739045474
Soja,19.15,5.86,18.54,104.34,3.38,La Nina,960.1,24.66590527376554,32.1,0.0833333333333333,4411.565162825325
Soja,21.6,6.08,12.89,70.04,1.76,La Nina,980.0,24.69189716889034,32.1,0.0833333333333333,4019.370809555682
Milho,18.38,4.95,7.78,137.38,1.78,La Nina,1097.4,24.612723151034285,32.1,0.0833333333333333,6289.3778041697515
Algodão,18.27,5.97,17.22,48.85,2.05,La Nina,1147.3,24.649920760697302,32.1,0.0833333333333333,1892.0735450454604
Algodão,18.77,5.85,20.74,136.66,1.93,La Nina,1135.5,24.6340276152586,32.1,0.0833333333333333,2007.8782669530046
Soja,19.28,5.27,16.04,108.7,2.58,La Nina,911.2,24.669228007181328,32.1,0.0833333333333333,3438.551703271348
Milho,21.19,5.9,9.04,145.37,1.71,La Nina,397.8,24.542710358233823,33.3,1.3333333333333333,6643.405866610753
Soja,19.18,5.49,10.33,90.21,3.26,La Nina,397.80000000000007,24.61592206919718,33.0,0.5416666666666666,3814.487426597624
Soja,19.12,4.94,22.85,131.34,3.08,La Nina,397.8,24.62875769648678,32.8,0.25,4071.4591244612857
Soja,18.5,6.17,8.13,65.9,2.82,La Nina,397.1,24.651548593805625,33.0,0.5416666666666666,4402.226714804362
Milho,18.03,5.17,19.99,123.03,2.44,La Nina,397.1,24.544669772540423,33.3,1.625,3994.556881859244
Milho,18.66,5.76,24.08,70.72,2.03,La Nina,388.19999999999993,24.556261534405483,33.3,2.0,5306.063348835332
Soja,19.42,5.23,22.84,70.93,3.06,La Nina,388.2,24.621561078053897,33.0,0.5416666666666666,3954.6380878272967
Soja,18.77,5.85,20.74,136.66,1.93,La Nina,388.2000000000001,24.585308362931872,33.0,0.5416666666666666,4006.1752245984126
Milho,21.2,6.02,18.81,41.07,2.41,La Nina,372.0,24.54995834490419,33.3,1.625,7185.630155742908
Algodão,20.1,5.52,21.18,110.13,1.7,La Nina,365.2,24.84123412786812,35.5,7.0,1901.8610286546766
Soja,20.54,6.13,11.17,133.12,3.03,La Nina,345.4,24.580262736302476,33.0,0.5416666666666666,3533.9428753578927
Milho,21.69,6.13,19.22,109.1,3.2,La Nina,345.4,24.5890421862563,33.5,2.333333333333333,4928.29411976727
Soja,20.89,5.89,24.35,148.16,2.66,La Nina,345.4,24.625742574257423,33.0,0.5416666666666666,4478.327294322812
Soja,18.05,4.96,17.3,128.0,2.95,La Nina,337.3,24.615661446184607,33.0,0.5416666666666666,4055.6041790051836
Algodão,19.15,5.28,22.1,80.39,2.84,La Nina,343.6,24.880950236433232,35.5,7.208333333333333,1970.5635693142892
Soja,18.27,5.97,17.22,48.85,2.05,La Nina,335.19999999999993,24.653175980562303,33.0,0.5416666666666666,4071.204295154162
Algodão,20.91,5.78,5.05,115.63,3.43,La Nina,337.19999999999993,24.94974518058941,35.6,8.25,2003.0541503952425
Soja,18.77,4.89,21.1,93.66,1.71,La Nina,328.8,24.62302565811396,33.0,0.5416666666666666,3679.1364645624767
Soja,19.56,4.93,19.71,134.49,2.34,La Nina,327.2,24.6244251916028,33.0,0.5416666666666666,4412.538613583455
Milho,19.04,6.16,17.67,118.09,1.53,La Nina,327.19999999999993,24.59936799770181,33.3,1.75,6760.255637441095
Algodão,21.6,6.08,12.89,70.04,1.76,La Nina,335.6,24.93885778275476,35.5,7.916666666666667,2087.9163596130797
Algodão,18.36,6.17,7.81,42.22,3.5,La Nina,335.6,24.98375578576152,35.9,8.916666666666666,1843.469947024821
Milho,18.74,5.53,12.37,120.34,3.16,La Nina,310.40000000000003,24.70953628504061,34.8,4.083333333333333,5540.235642431908
Algodão,20.34,5.75,16.61,91.88,2.21,La Nina,300.9,24.8550107117353,35.5,6.5,1827.9152248475698
Algodão,18.38,4.95,7.78,137.38,1.78,La Nina,301.5,24.92991531242847,35.5,7.666666666666667,1857.4758928133435
Soja,18.62,6.06,24.86,63.55,2.0,La Nina,293.1,24.615384615384617,33.0,0.5416666666666666,4430.907040670911
Algodão,21.49,6.13,9.11,96.77,1.69,La Nina,299.2,24.984215266831796,35.9,8.916666666666666,1579.4420259336073
Soja,20.98,5.39,5.39,70.96,3.45,La Nina,290.8,24.60178512396694,33.0,0.5833333333333334,3541.541998409485
Algodão,19.15,5.86,18.54,104.34,3.38,La Nina,298.0,24.95049210345617,35.6,8.25,1923.905947889936
Milho,21.58,5.43,18.49,69.17,1.74,La Nina,289.6,24.58566503878196,33.3,2.0,5101.104442739367
Milho,19.02,5.0,16.35,63.94,3.27,La Nina,288.90000000000003,24.59399263247379,33.5,2.333333333333333,6457.312043424502
Algodão,21.6,5.16,11.44,108.87,2.46,La Nina,297.3,24.973435010243566,35.9,8.916666666666666,1707.2611074076622
