ano,mes,oni_index,fase_enos
2000,1,-1.77,La Nina
2000,2,-1.53,La Nina
2000,3,-0.93,La Nina
2000,4,-0.75,La Nina
2000,5,-0.74,La Nina
2000,6,-0.64,La Nina
2000,7,-0.55,La Nina
2000,8,-0.47,Neutro
2000,9,-0.52,La Nina
2000,10,-0.65,La Nina
2000,11,-0.71,La Nina
2000,12,-0.88,La Nina
2001,1,-0.63,La Nina
2001,2,-0.53,La Nina
2001,3,-0.39,Neutro
2001,4,-0.39,Neutro
2001,5,-0.24,Neutro
2001,6,-0.11,Neutro
2001,7,-0.01,Neutro
2001,8,-0.1,Neutro
2001,9,-0.28,Neutro
2001,10,-0.18,Neutro
2001,11,-0.41,Neutro
2001,12,-0.46,Neutro
2002,1,-0.05,Neutro
2002,2,0.06,Neutro
2002,3,0.09,Neutro
2002,4,0.12,Neutro
2002,5,0.4,Neutro
2002,6,0.79,El Nino
2002,7,0.77,El Nino
2002,8,0.81,El Nino
2002,9,1.01,El Nino
2002,10,1.2,El Nino
2002,11,1.41,El Nino
2002,12,1.31,El Nino
2003,1,0.7,El Nino
2003,2,0.74,El Nino
2003,3,0.45,Neutro
2003,4,-0.05,Neutro
2003,5,-0.52,La Nina
2003,6,-0.21,Neutro
2003,7,0.24,Neutro
2003,8,0.2,Neutro
2003,9,0.19,Neutro
2003,10,0.38,Neutro
2003,11,0.29,Neutro
2003,12,0.38,Neutro
2004,1,0.38,Neutro
2004,2,0.34,Neutro
2004,3,0.21,Neutro
2004,4,0.16,Neutro
2004,5,0.14,Neutro
2004,6,0.2,Neutro
2004,7,0.51,El Nino
2004,8,0.7,El Nino
2004,9,0.72,El Nino
2004,10,0.68,El Nino
2004,11,0.61,El Nino
2004,12,0.69,El Nino
2005,1,0.76,El Nino
2005,2,0.46,Neutro
2005,3,0.53,El Nino
2005,4,0.35,Neutro
2005,5,0.39,Neutro
2005,6,0.12,Neutro
2005,7,-0.19,Neutro
2005,8,-0.1,Neutro
2005,9,-0.11,Neutro
2005,10,-0.1,Neutro
2005,11,-0.64,La Nina
2005,12,-0.97,La Nina
2006,1,-0.91,La Nina
2006,2,-0.67,La Nina
2006,3,-0.71,La Nina
2006,4,-0.32,Neutro
2006,5,-0.09,Neutro
2006,6,0.0,Neutro
2006,7,0.01,Neutro
2006,8,0.31,Neutro
2006,9,0.6,El Nino
2006,10,0.7,El Nino
2006,11,0.99,El Nino
2006,12,1.14,El Nino
2007,1,0.7,El Nino
2007,2,0.13,Neutro
2007,3,-0.18,Neutro
2007,4,-0.31,Neutro
2007,5,-0.47,Neutro
2007,6,-0.36,Neutro
2007,7,-0.59,La Nina
2007,8,-0.72,La Nina
2007,9,-1.11,La Nina
2007,10,-1.39,La Nina
2007,11,-1.53,La Nina
2007,12,-1.58,La Nina
2008,1,-1.68,La Nina
2008,2,-1.66,La Nina
2008,3,-1.21,La Nina
2008,4,-0.99,La Nina
2008,5,-0.84,La Nina
2008,6,-0.68,La Nina
2008,7,-0.3,Neutro
2008,8,-0.13,Neutro
2008,9,-0.25,Neutro
2008,10,-0.35,Neutro
2008,11,-0.46,Neutro
2008,12,-0.86,La Nina
2009,1,-0.89,La Nina
2009,2,-0.79,La Nina
2009,3,-0.7,La Nina
2009,4,-0.35,Neutro
2009,5,0.06,Neutro
2009,6,0.31,Neutro
2009,7,0.48,Neutro
2009,8,0.56,El Nino
2009,9,0.68,El Nino
2009,10,0.89,El Nino
2009,11,1.45,El Nino
2009,12,1.73,El Nino
2010,1,1.51,El Nino
2010,2,1.25,El Nino
2010,3,0.9,El Nino
2010,4,0.38,Neutro
2010,5,-0.22,Neutro
2010,6,-0.69,La Nina
2010,7,-1.07,La Nina
2010,8,-1.38,La Nina
2010,9,-1.59,La Nina
2010,10,-1.69,La Nina
2010,11,-1.64,La Nina
2010,12,-1.6,La Nina
2011,1,-1.54,La Nina
2011,2,-1.11,La Nina
2011,3,-0.92,La Nina
2011,4,-0.76,La Nina
2011,5,-0.52,La Nina
2011,6,-0.38,Neutro
2011,7,-0.42,Neutro
2011,8,-0.64,La Nina
2011,9,-0.8,La Nina
2011,10,-1.05,La Nina
2011,11,-1.18,La Nina
2011,12,-1.05,La Nina
2012,1,-0.87,La Nina
2012,2,-0.67,La Nina
2012,3,-0.61,La Nina
2012,4,-0.49,Neutro
2012,5,-0.32,Neutro
2012,6,0.02,Neutro
2012,7,0.25,Neutro
2012,8,0.47,Neutro
2012,9,0.38,Neutro
2012,10,0.26,Neutro
2012,11,0.15,Neutro
2012,12,-0.25,Neutro
2013,1,-0.53,La Nina
2013,2,-0.51,La Nina
2013,3,-0.25,Neutro
2013,4,-0.25,Neutro
2013,5,-0.4,Neutro
2013,6,-0.43,Neutro
2013,7,-0.39,Neutro
2013,8,-0.38,Neutro
2013,9,-0.18,Neutro
2013,10,-0.2,Neutro
2013,11,-0.14,Neutro
2013,12,-0.17,Neutro
2014,1,-0.49,Neutro
2014,2,-0.61,La Nina
2014,3,-0.28,Neutro
2014,4,0.09,Neutro
2014,5,0.32,Neutro
2014,6,0.23,Neutro
2014,7,-0.06,Neutro
2014,8,-0.03,Neutro
2014,9,0.29,Neutro
2014,10,0.44,Neutro
2014,11,0.75,El Nino
2014,12,0.72,El Nino
2015,1,0.51,El Nino
2015,2,0.42,Neutro
2015,3,0.47,Neutro
2015,4,0.7,El Nino
2015,5,0.92,El Nino
2015,6,1.17,El Nino
2015,7,1.45,El Nino
2015,8,1.93,El Nino
2015,9,2.2,El Nino
2015,10,2.36,El Nino
2015,11,2.71,El Nino
2015,12,2.65,El Nino
2016,1,2.56,El Nino
2016,2,2.24,El Nino
2016,3,1.61,El Nino
2016,4,0.9,El Nino
2016,5,0.3,Neutro
2016,6,-0.03,Neutro
2016,7,-0.47,Neutro
2016,8,-0.57,La Nina
2016,9,-0.57,La Nina
2016,10,-0.74,La Nina
2016,11,-0.76,La Nina
2016,12,-0.5,La Nina
2017,1,-0.43,Neutro
2017,2,-0.08,Neutro
2017,3,0.03,Neutro
2017,4,0.21,Neutro
2017,5,0.36,Neutro
2017,6,0.33,Neutro
2017,7,0.25,Neutro
2017,8,-0.16,Neutro
2017,9,-0.43,Neutro
